username,purchase_amount,num_items,account_age_days,session_duration,failed_login_attempts,geo_location_mismatch,timezone_mismatch,multiple_sessions_same_ip,account_takeover_risk,sudden_ip_change,captcha_triggered,typing_time,paste_detected,mouse_moves_per_second,scroll_depth,total_time_on_page,keystroke_variance,click_count,mouse_click_rate,idle_time_ratio,hover_time,scroll_velocity,user_agent_contains_bot,navigator_webdriver,js_enabled,cookie_enabled,timestamp,is_fraud,is_security_threat,is_behavior_anomaly,is_bot
user29,596.49,4,218,2232,3,0,1,1,0.17,0,1,9.86,0,14.64,56,1806,0.64,70,0.65,0.25,16,1.78,0,1,1,1,2025-07-14 09:16:00,1,0,1,0
user30,55.99,7,983,1632,0,1,0,0,0.98,1,1,9.51,1,7.9,91,168,0.9,99,0.47,0.47,14,1.93,0,0,1,1,2025-07-14 19:57:00,0,1,1,0
user31,611.47,3,23,2277,4,1,1,0,0.85,0,1,2.77,0,30.84,70,1729,1.45,79,0.38,0.0,18,1.9,0,1,1,1,2025-07-14 15:07:00,0,0,1,0
user32,178.82,2,642,183,3,1,0,1,0.5,0,1,8.88,1,32.99,72,974,1.29,90,0.68,0.45,13,3.87,1,1,1,1,2025-07-14 13:54:00,1,0,1,1
user33,74.4,7,427,3166,2,1,1,0,0.6,1,0,7.34,0,27.76,85,285,0.6,71,0.49,0.16,42,3.01,1,0,1,1,2025-07-14 10:53:00,1,1,0,1
user34,949.4,1,446,3218,4,0,1,0,0.23,1,1,5.08,0,41.77,25,1003,1.95,35,0.18,0.16,34,4.47,1,1,1,1,2025-07-14 18:58:00,0,0,1,0
user35,965.98,8,386,2753,3,1,0,1,0.54,1,0,5.87,0,43.75,11,781,1.83,37,0.92,0.11,9,1.88,1,0,1,1,2025-07-14 10:05:00,1,1,0,1
user36,810.31,3,29,1791,4,1,1,0,0.69,0,0,8.65,1,32.7,70,303,0.89,92,0.8,0.16,5,3.61,1,1,1,1,2025-07-14 16:35:00,0,0,0,1
user37,311.57,2,596,845,1,1,0,0,0.52,1,1,5.32,0,5.57,45,653,0.68,5,0.15,0.11,5,3.89,0,0,1,1,2025-07-14 12:53:00,0,1,1,0
user38,106.7,3,921,2103,1,1,1,0,0.99,0,0,4.36,1,36.29,46,112,1.91,48,0.57,0.45,24,1.18,1,0,1,1,2025-07-14 15:24:00,1,1,1,1
user39,687.39,5,764,2308,0,0,1,0,0.61,0,1,5.44,1,23.81,78,765,1.19,19,0.18,0.45,15,2.3,1,1,1,1,2025-07-14 12:55:00,1,1,1,0
user40,445.75,8,744,2476,0,0,1,1,0.37,1,0,6.21,1,30.45,37,1397,0.97,41,0.85,0.05,30,2.67,0,0,1,1,2025-07-14 16:47:00,1,0,1,1
user41,130.82,7,79,856,1,1,1,0,0.77,0,0,2.7,0,34.21,20,1421,1.24,31,0.65,0.07,48,2.1,1,1,1,1,2025-07-14 12:31:00,1,1,1,0
user42,500.23,7,833,136,4,1,0,1,0.17,1,1,9.11,1,20.76,13,150,1.66,52,0.26,0.43,7,1.95,1,0,1,1,2025-07-14 13:43:00,1,0,1,1
user43,44.04,7,220,118,1,0,1,0,0.38,0,1,7.07,1,46.27,1,599,0.75,31,0.12,0.2,10,3.59,1,0,1,1,2025-07-14 17:28:00,0,1,1,1
user44,910.23,8,110,2538,0,0,1,1,0.35,1,1,6.7,0,11.03,71,468,1.65,16,0.13,0.08,47,1.47,1,0,1,1,2025-07-14 11:44:00,1,1,1,0
user45,266.19,1,707,2745,1,1,0,0,0.43,0,1,1.9,1,35.22,69,823,1.62,71,0.56,0.26,49,3.69,1,1,1,1,2025-07-14 13:36:00,0,1,0,0
user46,665.9,4,141,1583,1,1,0,1,0.78,0,0,6.44,1,5.2,32,1779,1.31,34,0.76,0.21,15,4.71,1,0,1,1,2025-07-14 16:22:00,1,0,0,1
user47,318.59,6,632,1996,4,0,0,0,0.48,1,1,2.09,0,46.61,5,456,1.8,91,0.21,0.11,12,3.04,0,0,1,1,2025-07-14 12:23:00,0,1,1,0
user48,524.87,9,390,2216,3,0,0,1,0.79,0,0,1.71,1,10.06,89,1126,0.7,70,0.3,0.36,33,3.25,1,0,1,1,2025-07-14 13:49:00,1,1,0,0
user49,551.24,2,141,3115,0,0,0,1,0.58,1,0,5.75,0,9.27,36,1377,1.39,11,0.39,0.32,14,0.81,1,1,1,1,2025-07-14 11:37:00,1,0,1,0
user50,193.01,1,29,1361,4,0,0,0,0.34,0,0,4.63,1,19.99,13,1598,1.17,38,0.3,0.05,38,4.39,1,1,1,1,2025-07-14 15:15:00,0,1,0,0
user51,969.89,2,915,127,1,0,1,1,0.81,0,0,6.3,1,21.81,36,946,1.13,36,0.45,0.46,28,1.78,0,0,1,1,2025-07-14 08:41:00,1,1,0,0
user52,777.38,7,545,3200,1,0,0,0,0.24,0,0,1.8,0,14.64,7,1629,0.88,43,0.6,0.28,21,3.27,0,0,1,1,2025-07-14 12:42:00,1,0,1,1
user53,940.1,3,236,3296,3,1,1,0,0.22,1,0,4.88,1,31.33,76,355,1.06,47,0.72,0.13,36,4.91,0,1,1,1,2025-07-14 11:07:00,0,0,1,0
user54,895.88,2,163,2412,0,0,0,0,0.5,1,1,2.57,1,24.93,12,1733,0.66,47,0.97,0.1,15,3.18,0,0,1,1,2025-07-14 11:13:00,0,0,1,0
user55,601.92,7,814,1992,0,0,1,0,0.26,1,0,9.88,1,6.54,39,1808,0.88,82,0.94,0.07,38,3.76,1,0,1,1,2025-07-14 13:23:00,0,1,0,0
user56,922.66,2,751,2781,2,0,1,0,0.01,1,0,6.05,0,19.38,91,1273,0.91,7,0.61,0.21,28,2.5,0,0,1,1,2025-07-14 14:49:00,1,0,0,0
user57,97.61,3,478,424,0,0,1,1,0.65,1,0,7.19,0,41.47,57,1611,1.58,50,0.76,0.07,9,0.77,1,0,1,1,2025-07-14 16:04:00,0,1,1,1
user58,204.02,7,831,880,3,1,0,0,0.51,0,1,3.93,0,36.04,17,378,0.57,36,0.96,0.21,33,4.09,1,0,1,1,2025-07-14 19:28:00,0,1,0,0
user59,54.78,4,880,1462,2,1,0,0,0.45,0,1,1.85,0,37.62,56,1182,1.48,47,0.18,0.07,38,0.66,1,0,1,1,2025-07-14 10:28:00,1,0,1,1
user60,332.08,1,414,2450,2,0,0,0,0.97,1,0,9.78,0,36.42,82,545,0.83,85,0.11,0.33,20,3.65,0,1,1,1,2025-07-14 10:58:00,1,0,0,1
user61,394.79,5,211,1006,1,1,0,0,0.57,0,1,3.58,1,18.99,37,212,0.62,7,0.13,0.39,29,0.6,1,0,1,1,2025-07-14 16:12:00,1,1,1,0
user62,278.64,9,47,3006,1,1,1,0,0.86,0,0,4.81,0,9.48,31,935,0.95,78,0.61,0.27,41,4.38,0,0,1,1,2025-07-14 16:00:00,1,0,0,0
user63,830.45,8,951,1637,0,1,0,0,0.14,0,1,6.85,0,17.26,85,854,0.84,67,0.79,0.34,12,1.21,1,1,1,1,2025-07-14 10:54:00,1,0,1,1
user64,363.19,9,781,1437,2,1,1,1,0.57,0,0,1.22,0,42.43,65,1945,1.33,44,0.43,0.47,33,2.81,0,1,1,1,2025-07-14 12:22:00,1,1,1,1
user65,288.13,9,197,1499,1,1,1,1,0.87,1,1,8.29,1,49.12,76,1692,1.04,22,0.59,0.32,29,3.19,0,1,1,1,2025-07-14 11:17:00,0,0,1,1
user66,547.27,7,66,3240,3,1,0,0,0.58,0,1,5.83,1,27.22,86,1612,1.95,71,0.56,0.18,46,2.56,1,1,1,1,2025-07-14 10:57:00,0,0,0,0
user67,149.51,4,950,821,1,0,0,1,0.72,1,1,3.5,0,5.44,24,1530,1.95,66,0.19,0.22,27,2.03,1,0,1,1,2025-07-14 11:12:00,1,0,1,1
user68,804.18,5,29,400,1,0,0,0,0.37,1,0,1.55,1,11.3,91,466,1.17,14,0.39,0.43,38,2.61,1,1,1,1,2025-07-14 10:31:00,0,1,0,0
user69,83.81,1,282,3049,2,0,1,0,0.09,0,0,2.46,1,19.49,57,1183,1.69,56,0.12,0.07,7,1.9,0,0,1,1,2025-07-14 17:20:00,0,0,1,1
user70,987.02,1,128,442,2,0,0,0,0.46,1,0,9.06,1,31.04,74,428,0.52,77,0.2,0.16,34,2.47,0,1,1,1,2025-07-14 17:48:00,0,0,1,1
user71,774.52,3,592,1063,4,0,1,0,0.39,0,1,7.17,1,8.38,32,827,1.32,50,0.83,0.29,38,2.12,0,1,1,1,2025-07-14 13:38:00,0,1,1,0
user72,206.73,8,525,1616,3,1,0,0,0.87,0,1,3.25,0,47.45,87,1592,1.61,59,0.85,0.34,36,3.05,1,1,1,1,2025-07-14 08:20:00,1,1,0,0
user73,15.47,2,230,359,2,0,1,1,0.24,0,0,1.59,0,21.43,65,1868,0.83,50,0.82,0.38,33,1.57,0,0,1,1,2025-07-14 10:33:00,1,1,0,1
user74,817.31,4,535,198,0,0,0,1,0.97,1,1,7.22,1,46.07,29,1105,0.59,79,0.75,0.16,13,4.95,1,1,1,1,2025-07-14 13:22:00,0,1,0,0
user75,709.79,2,524,418,3,1,0,1,0.96,1,0,6.15,1,40.12,80,1690,0.73,64,0.81,0.07,6,2.75,0,1,1,1,2025-07-14 18:51:00,1,0,1,0
user76,731.72,5,737,895,3,1,1,1,0.25,1,0,4.64,1,38.99,33,819,1.16,30,0.7,0.48,43,1.37,0,1,1,1,2025-07-14 16:51:00,0,1,0,1
user77,773.56,9,750,1582,2,0,0,0,0.35,0,0,4.27,1,32.3,85,1186,1.26,31,0.7,0.04,11,2.65,0,0,1,1,2025-07-14 15:18:00,0,1,1,0
user78,83.3,1,345,3516,3,1,0,1,0.9,0,0,2.95,0,33.21,68,283,1.07,42,0.7,0.05,9,4.4,1,0,1,1,2025-07-14 09:53:00,1,0,1,0
user79,364.88,5,707,1687,2,1,0,0,0.97,0,1,7.03,1,33.71,47,1122,1.16,26,0.56,0.25,12,0.6,1,1,1,1,2025-07-14 08:28:00,0,1,1,1
user80,124.71,9,64,2042,1,1,0,1,0.44,1,1,9.74,0,33.29,39,410,1.21,30,0.43,0.41,36,3.56,1,0,1,1,2025-07-14 11:31:00,1,1,1,1
user81,864.47,1,509,1363,4,1,0,1,0.32,0,1,2.58,1,29.92,50,1916,1.65,90,0.76,0.39,22,2.97,0,1,1,1,2025-07-14 17:09:00,1,0,1,0
user82,627.07,9,909,2590,1,0,0,1,0.53,0,0,6.37,0,49.39,79,1661,0.66,73,0.37,0.47,42,1.26,0,0,1,1,2025-07-14 13:37:00,1,1,0,0
user83,337.59,8,897,968,2,1,0,1,0.69,1,1,4.82,1,37.95,12,276,1.65,39,0.59,0.07,22,4.18,0,1,1,1,2025-07-14 19:48:00,1,1,0,0
user84,72.92,4,775,1194,2,0,1,0,0.27,1,0,5.02,0,39.96,89,1698,1.53,70,0.49,0.19,45,2.16,0,0,1,1,2025-07-14 16:53:00,1,0,1,1
user85,317.87,5,545,2973,1,0,1,1,0.74,1,0,3.29,0,44.26,30,1552,1.61,77,0.35,0.14,49,1.82,1,1,1,1,2025-07-14 19:13:00,1,0,1,1
user86,331.93,5,171,2246,0,1,0,1,0.05,0,0,8.43,0,14.7,38,1196,1.6,55,0.98,0.43,20,4.23,0,0,1,1,2025-07-14 14:09:00,1,0,0,0
user87,732.31,6,679,1055,0,1,0,0,0.05,0,0,5.37,1,8.77,62,946,1.21,22,0.33,0.24,25,3.37,0,0,1,1,2025-07-14 16:38:00,1,0,1,0
user88,641.18,7,603,2542,0,1,0,0,0.39,0,0,5.89,0,26.73,47,1290,0.82,47,0.38,0.01,14,4.54,1,1,1,1,2025-07-14 17:05:00,1,0,1,0
user89,888.34,8,924,2616,2,0,1,1,0.35,1,0,3.74,1,28.13,86,1348,1.3,16,0.25,0.35,46,3.33,1,1,1,1,2025-07-14 15:05:00,0,0,1,1
user90,477.49,8,168,2380,3,1,1,0,0.32,1,1,2.64,0,42.31,47,1700,1.94,7,0.84,0.19,8,3.83,1,0,1,1,2025-07-14 16:31:00,1,0,1,1
user91,128.4,2,197,3230,2,1,0,0,0.49,1,1,1.77,0,24.97,60,1704,1.38,86,0.63,0.27,48,4.26,0,1,1,1,2025-07-14 13:14:00,0,0,0,0
user92,716.11,9,69,2211,3,1,1,0,0.32,1,1,7.43,1,30.69,11,108,0.52,11,0.65,0.45,12,0.75,1,1,1,1,2025-07-14 08:17:00,1,0,1,0
user93,763.18,7,924,1297,1,1,0,1,0.19,0,1,2.77,0,28.72,77,335,0.59,10,0.84,0.13,23,3.99,0,1,1,1,2025-07-14 10:26:00,0,0,0,0
user94,565.66,4,826,1844,4,1,0,0,0.31,0,0,7.21,1,6.72,55,809,1.99,86,0.41,0.12,44,3.26,1,1,1,1,2025-07-14 08:47:00,1,0,0,0
user95,773.26,4,328,2869,3,0,0,1,0.97,0,0,4.51,1,32.68,17,1023,0.61,49,0.27,0.13,44,0.81,0,0,1,1,2025-07-14 16:29:00,1,0,0,1
user96,498.86,8,887,2894,0,1,0,1,0.41,0,1,4.74,1,42.26,26,784,0.57,90,0.28,0.17,13,2.79,0,1,1,1,2025-07-14 17:06:00,1,1,0,0
user97,527.51,4,220,224,2,1,1,1,0.44,0,1,5.22,1,12.09,27,893,1.03,43,0.76,0.05,34,0.87,0,0,1,1,2025-07-14 18:05:00,0,0,1,0
user98,433.27,6,415,1058,1,1,1,1,0.58,0,1,4.31,0,31.74,81,1151,1.95,55,0.65,0.35,21,3.81,0,0,1,1,2025-07-14 15:47:00,0,0,1,1
user99,35.16,5,673,2627,0,0,0,0,0.98,0,1,1.91,0,31.71,79,907,0.98,13,0.29,0.1,44,2.96,0,1,1,1,2025-07-14 18:57:00,1,0,1,0
user100,116.81,3,118,1367,1,1,1,1,0.24,0,1,3.79,1,12.39,51,1769,1.11,27,0.23,0.46,48,4.79,0,1,1,1,2025-07-14 14:29:00,0,0,0,0
user101,41.11,2,85,2624,4,0,1,0,0.68,1,1,6.97,0,10.56,15,126,1.45,16,0.21,0.11,19,1.32,1,0,1,1,2025-07-14 12:53:00,1,0,0,0
user102,640.05,9,551,716,2,0,0,1,0.72,1,1,6.99,0,49.1,76,649,0.54,92,0.67,0.13,8,3.23,0,1,1,1,2025-07-14 13:14:00,0,1,0,0
user103,321.21,9,323,2720,2,1,1,0,0.61,0,1,3.58,1,22.72,57,1319,1.85,66,0.1,0.15,10,1.45,0,1,1,1,2025-07-14 15:37:00,0,1,1,0
user104,513.48,1,126,2271,4,1,0,1,0.09,1,0,5.14,0,15.23,92,1326,1.28,77,0.12,0.38,20,3.26,0,0,1,1,2025-07-14 11:13:00,0,1,1,0
user105,908.49,3,936,1969,2,1,0,0,0.68,0,0,2.74,1,12.71,8,184,1.2,81,0.45,0.21,30,3.75,0,0,1,1,2025-07-14 18:00:00,1,1,1,1
user106,256.8,8,877,2106,3,0,0,1,0.06,0,0,2.89,0,35.04,25,1955,1.79,44,0.72,0.41,41,3.75,1,0,1,1,2025-07-14 09:56:00,0,0,0,0
user107,416.28,6,713,2171,1,0,0,1,0.6,1,0,1.21,0,32.43,27,1153,1.93,58,0.73,0.39,27,4.17,0,1,1,1,2025-07-14 08:07:00,0,1,0,1
user108,758.0,5,28,3222,0,0,1,0,0.74,0,1,9.07,1,33.96,76,565,1.14,85,0.49,0.46,17,4.34,0,1,1,1,2025-07-14 10:03:00,1,1,1,1
user109,236.51,5,441,1200,4,0,0,1,0.21,0,0,2.9,0,8.96,35,1222,0.76,11,0.72,0.38,21,0.85,1,0,1,1,2025-07-14 15:09:00,1,0,0,1
user110,86.21,6,694,1949,3,0,1,1,0.84,0,1,3.05,0,45.21,8,1313,1.72,21,0.57,0.03,31,2.04,0,0,1,1,2025-07-14 18:13:00,0,1,0,1
user111,296.85,7,749,326,0,0,0,1,0.03,0,0,3.52,1,22.52,46,111,1.1,54,0.98,0.42,26,3.59,1,1,1,1,2025-07-14 12:56:00,0,1,1,0
user112,169.61,1,359,1905,0,1,0,0,0.84,0,1,2.15,0,19.1,77,1726,1.9,28,0.25,0.47,41,2.74,0,1,1,1,2025-07-14 09:24:00,1,0,0,0
user113,930.4,9,192,1768,4,1,1,1,0.46,0,1,6.75,1,25.81,50,1112,1.92,6,0.64,0.5,23,1.36,0,1,1,1,2025-07-14 17:59:00,1,0,0,0
user114,810.04,3,122,3271,3,0,0,1,0.22,0,0,1.68,0,22.55,75,1153,0.67,96,0.54,0.06,43,2.99,1,0,1,1,2025-07-14 18:59:00,1,1,1,0
user115,637.07,4,192,2353,0,1,1,0,0.13,1,0,2.21,1,43.86,56,1848,1.93,87,0.28,0.31,39,2.33,1,1,1,1,2025-07-14 16:38:00,1,0,0,1
user116,872.75,1,490,2502,0,1,1,0,0.95,1,1,6.8,1,46.82,31,1161,1.05,37,0.77,0.1,17,2.26,1,1,1,1,2025-07-14 11:34:00,1,1,0,1
user117,805.64,3,155,1570,3,0,0,0,0.07,0,1,4.06,1,18.66,66,1976,1.47,25,0.35,0.13,18,4.14,0,0,1,1,2025-07-14 09:46:00,0,0,0,1
user118,194.7,2,840,535,2,0,0,0,0.2,1,1,7.37,1,43.88,56,671,0.55,78,0.44,0.37,35,2.33,1,1,1,1,2025-07-14 17:19:00,1,1,0,0
user119,893.63,2,637,1036,0,1,0,0,0.35,0,0,6.02,1,40.17,53,1417,1.83,57,0.44,0.49,49,0.62,1,0,1,1,2025-07-14 12:57:00,1,1,1,1
user120,543.95,1,122,1267,1,0,0,1,0.62,0,0,3.3,0,46.89,15,1483,1.46,50,0.32,0.3,6,0.76,0,1,1,1,2025-07-14 08:43:00,0,1,1,0
user121,809.37,8,772,1103,3,0,0,1,0.54,0,1,6.86,0,16.06,61,1778,1.47,49,0.49,0.43,43,4.35,0,0,1,1,2025-07-14 19:12:00,1,0,0,1
user122,897.13,3,485,2020,0,1,0,1,0.13,0,0,2.05,1,30.96,83,1013,1.85,13,0.53,0.0,41,4.82,0,0,1,1,2025-07-14 15:15:00,1,0,1,0
user123,324.82,3,772,617,4,0,1,0,0.29,1,1,5.83,0,17.35,95,279,1.26,10,0.77,0.02,18,3.6,1,0,1,1,2025-07-14 16:38:00,1,1,1,1
user124,118.95,6,312,1077,1,1,1,1,0.24,1,0,4.93,1,42.08,55,896,1.12,55,0.79,0.3,13,2.14,0,1,1,1,2025-07-14 17:14:00,0,0,1,1
user125,235.66,8,980,1665,0,1,0,0,0.21,1,0,3.41,0,5.24,22,1235,1.8,39,0.24,0.19,14,4.72,1,1,1,1,2025-07-14 13:02:00,1,0,0,0
user126,432.84,9,834,942,1,1,1,0,0.41,1,0,6.44,0,30.42,16,1865,1.61,86,0.63,0.44,11,3.48,1,1,1,1,2025-07-14 14:36:00,1,1,0,1
user127,819.83,9,127,2254,1,1,1,1,0.7,0,0,8.84,1,20.26,79,1567,1.92,57,0.91,0.15,32,4.3,1,1,1,1,2025-07-14 13:47:00,1,0,1,1
user128,862.12,4,822,725,2,1,0,0,0.22,1,0,9.99,1,19.52,37,1144,1.91,23,0.2,0.22,29,3.95,1,0,1,1,2025-07-14 18:19:00,1,0,1,0
user129,16.88,5,170,3435,1,0,0,0,0.37,0,1,6.47,0,34.02,71,1268,1.07,73,0.53,0.26,32,2.21,0,1,1,1,2025-07-14 18:41:00,0,1,1,1
user130,515.64,2,410,2727,2,0,1,1,0.39,0,1,4.64,0,43.32,82,1622,1.17,29,0.78,0.14,6,2.65,0,1,1,1,2025-07-14 15:55:00,0,1,1,1
user131,423.24,9,207,1831,3,0,0,0,0.98,1,0,3.03,1,32.41,29,1269,0.88,15,0.65,0.45,21,1.34,1,0,1,1,2025-07-14 17:24:00,1,0,0,1
user132,229.89,8,269,2927,2,0,1,0,0.95,0,1,3.31,0,43.39,57,540,1.49,78,0.19,0.23,8,1.81,1,0,1,1,2025-07-14 11:38:00,1,0,1,1
user133,128.67,3,669,923,4,1,0,1,0.8,1,1,5.32,0,16.91,97,986,1.05,21,0.46,0.21,17,4.0,0,0,1,1,2025-07-14 13:50:00,1,0,0,0
user134,344.24,9,761,641,0,1,1,0,0.24,1,0,4.31,1,28.38,77,520,1.68,40,0.56,0.42,22,4.52,0,0,1,1,2025-07-14 10:03:00,1,1,0,0
user135,943.48,3,56,3130,3,0,1,0,0.07,1,1,9.22,0,25.27,21,1439,0.68,94,1.0,0.16,7,3.76,1,1,1,1,2025-07-14 11:16:00,1,0,0,1
user136,329.97,9,996,754,3,1,1,1,0.32,1,0,4.31,1,5.52,16,1289,0.67,99,0.26,0.41,41,2.59,1,0,1,1,2025-07-14 12:34:00,1,0,0,0
user137,523.6,2,408,1311,4,0,1,1,0.27,1,1,4.36,1,30.06,14,1775,0.81,25,0.98,0.06,37,0.89,1,1,1,1,2025-07-14 08:55:00,1,0,0,1
user138,705.99,9,719,3233,2,0,0,1,0.51,0,1,4.45,1,34.77,47,1326,0.63,22,0.44,0.09,45,0.76,1,1,1,1,2025-07-14 13:29:00,0,0,0,0
user139,369.99,8,568,1670,0,0,0,1,0.78,1,1,8.53,0,31.64,31,1619,1.43,64,0.28,0.48,28,2.18,1,0,1,1,2025-07-14 17:40:00,1,0,0,1
user140,972.06,9,87,3548,2,1,1,0,0.86,1,1,6.86,0,38.13,76,1879,0.72,22,0.47,0.42,12,2.59,0,0,1,1,2025-07-14 12:33:00,0,0,1,1
user141,962.82,5,133,1299,1,1,1,0,0.84,0,1,6.53,1,30.71,84,1748,0.74,5,0.65,0.19,39,3.24,1,0,1,1,2025-07-14 08:19:00,0,1,0,0
user142,259.26,2,84,2514,2,1,0,1,0.36,1,1,4.01,1,8.0,39,567,0.52,18,0.29,0.32,6,0.53,0,0,1,1,2025-07-14 09:28:00,1,1,1,1
user143,502.28,8,880,458,3,1,0,0,0.69,1,1,8.36,0,10.24,96,812,1.67,12,0.36,0.47,37,4.95,1,0,1,1,2025-07-14 15:42:00,0,1,1,1
user144,307.87,6,146,2006,0,0,1,0,0.31,0,0,1.35,0,31.84,56,484,1.72,70,0.87,0.11,16,2.14,0,1,1,1,2025-07-14 17:03:00,0,0,1,1
